videoId,commentId,author,text,likes,publishedAt
sVYXzMsLEXA,Ugzoo4vn2AYubjmpF0N4AaABAg,@giangngan4540,hay lắm mình cũng thích,0,1650643729.371006
sVYXzMsLEXA,UgzwXeLN-Yxn73ORn9x4AaABAg,@hoctenniscaptoc9140,cảm ơn kênh rất nhiều,0,1650643729.372593
sVYXzMsLEXA,UgzOIxy1ReMxR8bFEdV4AaABAg,@TrongNguyen-wg8qj,Mai nho nghe si Thanh tong,0,1713802129.374028
sVYXzMsLEXA,UgzFGsR4Bi4Y1H0aJ0p4AaABAg,@chauphan7981,❤,0,1758557329.375844
sVYXzMsLEXA,UgzXOQmt7KlJML7v6jl4AaABAg,@huongvietvlog9647,đây tuồng cải lương,0,1650643729.37717
sVYXzMsLEXA,UgwUI0beRjXsEVBDl7V4AaABAg,@thietmai6632,hay qua,0,1650643729.378411
sVYXzMsLEXA,UgxmsPVG3yx0BCm6gix4AaABAg,@vovan4648,phải nói là quá hay,0,1650643729.37982
sVYXzMsLEXA,UgwWRMm0LE002-q4j2N4AaABAg,@GymsTikTok,văn hóa ạ chị ơi,0,1650643729.381868
sVYXzMsLEXA,UgxActLtNMOgFS5_0Y14AaABAg,@kentouristandlife6394,Hay quá e ơi,0,1650643729.383245
sVYXzMsLEXA,UgxRp3eBUblNUJITjrt4AaABAg,@chinngo6321,Hay và nhớ ngày xưa,0,1650643729.385171
sVYXzMsLEXA,Ugw3aGlVCfU7KRPl9zF4AaABAg,@sieuvuihanhlam462,xem hay,0,1650643729.386164
sVYXzMsLEXA,Ugyl29BqH0wkGVI3mcp4AaABAg,@techstrong8804,hay đấy,0,1650643729.387882
sVYXzMsLEXA,UgwUc1OnO_JmyZEkI1V4AaABAg,@sunnyn9387,Hay wa,0,1682179729.389013
sVYXzMsLEXA,Ugx-INFTgz0vip7gEDN4AaABAg,@dungkim8041,Thật sự muốn theo nghề rất nhiều 😊,0,1713802129.389984
sVYXzMsLEXA,UgyzP78jQJrw8MezON14AaABAg,@phiaovlogs3379,Hay lắm ak bạn,0,1650643729.39161
sVYXzMsLEXA,Ugyfptppj40uadkPrV14AaABAg,@LinhPham-or2rd,Tiết mục rất hay b,0,1650643729.394106
sVYXzMsLEXA,Ugygf68stcd_r1DdLRl4AaABAg,@bocvactv630,Tuyệt vời,0,1650643729.3956
sVYXzMsLEXA,Ugxqi48p97KfNh7okfJ4AaABAg,@huongthu1131,Giờ không chắc  không  còn. Hay quá,0,1650643729.396824
sVYXzMsLEXA,UgxgXWVFVjQVI7wsEq54AaABAg,@quanglam3604,Hay quá,0,1650643730.022692
sVYXzMsLEXA,Ugz3PSIE2LGtJD76btB4AaABAg,@kientrucnhaepntt7617,Hay lấm nhớ lại kỹ niệm vớ bà khi còn nhỏ.,0,1650643730.024166
sVYXzMsLEXA,UgwEmHeAcXZiN1cFZfZ4AaABAg,@hotgirl8611,Lâu lắm k dc xem hay quá,0,1650643730.025175
sVYXzMsLEXA,Ugxb-cT8iil4IHIuSFB4AaABAg,@HienPham-mm4be,Nhảy té cái thoát vị đỉa điệm luôn đó.,0,1750608530.026923
sVYXzMsLEXA,UgxZYSxVt59gDSePD2d4AaABAg,@batuyen3080,lâu lâu nghe lại cũng hay,0,1650643730.027892
sVYXzMsLEXA,Ugy16tAPUvLDShPOB2l4AaABAg,@towervn5773,chất như nước cất,0,1650643730.02883
sVYXzMsLEXA,UgyBf0fcmgnv7ZE0ztt4AaABAg,@aubepl9503,"hay quá , thật tuyệt vời",0,1650643730.030099
sVYXzMsLEXA,UgyRk1KEtKnUJRagO-14AaABAg,@AndrewBonTV,Rất hay ạ,0,1650643730.031006
sVYXzMsLEXA,UgwhpzsAiQODP8bm9a14AaABAg,@atynhackinhphat1914,chúc bạn và đoàn luôn luôn mạnh khỏe 👉🤝👈👌 tới luôn 👉👉👉🤝 ở đâu có thì có tôi,0,1650643730.032021
sVYXzMsLEXA,UgyctQuVGRE251mJNLN4AaABAg,@ngocanhvloghoang1878,hay,0,1650643730.033057
sVYXzMsLEXA,Ugz77nKa7xtbA_NoQ7R4AaABAg,@diablo9854,"xưa mình toàn xem với ông, giờ xem lại thấy hoài niệm quá",0,1650643730.034138
sVYXzMsLEXA,UgyMWgtNpXa8dEt_m0B4AaABAg,@ngocmai882,"Thật là tuyệt vời, nếu được bạn hãy chia sẻ thường xuyên nhé",0,1650643730.035374
sVYXzMsLEXA,UgwDHqZnEBtnL_DvcIN4AaABAg,@ThangTTLegacy,Lâu rồi không được nghe cải lương,0,1650643730.03689
sVYXzMsLEXA,Ugx4NFHs_5tAbYThok14AaABAg,@nhuthaohuynh7935,tôi thích nhất cảnh nghệ sĩ Thanh Sơn đóng vai quan công rất là hay,1,1650643730.038037
sVYXzMsLEXA,UgyHdgU0Uhy0KneCfNJ4AaABAg,@mixtilo7790,Coi cũng vui vui. cũng hay,0,1650643730.039617
sVYXzMsLEXA,Ugxk0xzOQxPLPugU7hF4AaABAg,@DenPham-bi9lj,Chú hát Hồ Quảng nghe rất hay đừng trộm hát bội giàu Hồ Quảng không phù hợp chú ơi,0,1713802130.04144
sVYXzMsLEXA,UgxM01zRYaixMydC0MV4AaABAg,@gianguyen1762,Tuyệt vời!,0,1650643730.042401
sVYXzMsLEXA,UgwJ8KsDKtt38l4rQwt4AaABAg,@khanghuynhchi4577,Cãi lương thời xưa vẫn hay,0,1650643730.0435
sVYXzMsLEXA,UgwlBFowzo_UuYOMrn54AaABAg,@trannuthucoan8467,"nhỏ thích nghe lắm, giờ nghe lại thấy nhớ",0,1650643730.044747
sVYXzMsLEXA,Ugz7Ij6qTYoDZ9HfQXN4AaABAg,@OanhNguyen-gf7pp,Kinh chúc chú Thanh Sơn và chu Trường Sơn dồi dào sức khỏe an lành.,1,1682179730.045926
sVYXzMsLEXA,Ugz_s0okjclzu1tQQvR4AaABAg,@dungtiny2429,Ngoài bắc thì có tuồng trèo trong nam thì có cải lương.cái nào mình cũng thích xem,0,1650643734.358442
sVYXzMsLEXA,UgzHKqZnQLqEGb2Qoql4AaABAg,@Muabáncâycổthụ-f1j,nghe hay quá bạn,0,1650643734.360166
sVYXzMsLEXA,UgxEJn4nUdkGzTcybEN4AaABAg,@haiphan1280,Chúc bạn thành công trong nghệ thuật,0,1650643734.362328
sVYXzMsLEXA,Ugy00Aae1CaQiMFeVwp4AaABAg,@huonghanlamyoutobe1122,hay lăm,0,1650643734.363847
sVYXzMsLEXA,UgxBAIAru5-yxzp-4Kt4AaABAg,@phucchien1928,Hấp dẫn,0,1650643734.364838
sVYXzMsLEXA,UgwQkQu1Fw_dSld9m1V4AaABAg,@hoangdungaudio0685,Cải lương hay quá bạn ơi cảm ơn bạn,0,1650643734.36603
sVYXzMsLEXA,Ugw623GJIv3ZU84IpiV4AaABAg,@khoanhkhacthuvi9690,Tiết mục rất hay,0,1650643734.367152
sVYXzMsLEXA,UgzeIY1-Ruiu9X97DJN4AaABAg,@hongnhiennguyen4780,Xem hay quá trời . Bây giờ k còn hát như gì nữa,1,1650643734.36868
sVYXzMsLEXA,Ugx0znIzYiQqRp_s1bt4AaABAg,@ĐồGỗVănHiệp,Hay quá b,0,1650643734.369788
sVYXzMsLEXA,Ugy1cxiW2kELewyPLuh4AaABAg,@thienphuc37,Tuồng quan công này hay đó ạ,0,1650643734.370861
sVYXzMsLEXA,Ugx9SycHUFHs2F3R04h4AaABAg,@aerobickhanhhoa,Hay quá ạ! M rất thích xem!,0,1650643734.372435
sVYXzMsLEXA,Ugy0_As_rIvZUg1WltZ4AaABAg,@minhtoantv2771,Hap dan,0,1650643734.374261
sVYXzMsLEXA,UgyBg-pw8ui-teqhLS14AaABAg,@longtrinh543,"Cho con hỏi Quan nhị gia khi xuất hiện lại mặc áo có tay trái rộng, Chu Công Cẩn lại mặc áo quan văn dù hai vị đều là tướng võ",0,1682179734.375212
